NAMESPACE        LAST SEEN   TYPE      REASON        OBJECT                      MESSAGE
3scale-project   2m59s       Warning   FailedMount   pod/system-app-5-hook-pre   (combined from similar events): MountVolume.SetUp failed for volume "system-app" : mount failed: exit status 32
Mounting command: systemd-run
Mounting arguments: --description=Kubernetes transient mount for /var/lib/kubelet/pods/c957a53a-8bad-4b50-a56f-ad55a6efa1db/volumes/kubernetes.io~nfs/system-app --scope -- mount -t nfs 10.92.49.14:/CMS_PRDE_p_openshift_apu /var/lib/kubelet/pods/c957a53a-8bad-4b50-a56f-ad55a6efa1db/volumes/kubernetes.io~nfs/system-app
Output: Running scope as unit: run-rcd45f1d88c264962bde89b1c806627b9.scope
mount.nfs: mounting 10.92.49.14:/CMS_PRDE_p_openshift_apu failed, reason given by server: No such file or directory
cluster-ops               <unknown>   Normal    Scheduled               pod/cronjob-ldap-group-sync-1600704000-jw6bv   Successfully assigned cluster-ops/cronjob-ldap-group-sync-1600704000-jw6bv to worker-01.osepext01.claro.amx
cluster-ops               139m        Normal    Pulled                  pod/cronjob-ldap-group-sync-1600704000-jw6bv   Container image "registry.access.redhat.com/openshift3/ose-cli:v3.11" already present on machine
cluster-ops               139m        Normal    Created                 pod/cronjob-ldap-group-sync-1600704000-jw6bv   Created container cronjob-ldap-group-sync
cluster-ops               139m        Normal    Started                 pod/cronjob-ldap-group-sync-1600704000-jw6bv   Started container cronjob-ldap-group-sync
cluster-ops               139m        Normal    SuccessfulCreate        job/cronjob-ldap-group-sync-1600704000         Created pod: cronjob-ldap-group-sync-1600704000-jw6bv
cluster-ops               <unknown>   Normal    Scheduled               pod/cronjob-ldap-group-sync-1600707600-s98vb   Successfully assigned cluster-ops/cronjob-ldap-group-sync-1600707600-s98vb to worker-01.osepext01.claro.amx
cluster-ops               79m         Normal    Pulled                  pod/cronjob-ldap-group-sync-1600707600-s98vb   Container image "registry.access.redhat.com/openshift3/ose-cli:v3.11" already present on machine
cluster-ops               79m         Normal    Created                 pod/cronjob-ldap-group-sync-1600707600-s98vb   Created container cronjob-ldap-group-sync
cluster-ops               79m         Normal    Started                 pod/cronjob-ldap-group-sync-1600707600-s98vb   Started container cronjob-ldap-group-sync
cluster-ops               79m         Normal    SuccessfulCreate        job/cronjob-ldap-group-sync-1600707600         Created pod: cronjob-ldap-group-sync-1600707600-s98vb
cluster-ops               <unknown>   Normal    Scheduled               pod/cronjob-ldap-group-sync-1600711200-msbwc   Successfully assigned cluster-ops/cronjob-ldap-group-sync-1600711200-msbwc to worker-01.osepext01.claro.amx
cluster-ops               20m         Normal    Pulled                  pod/cronjob-ldap-group-sync-1600711200-msbwc   Container image "registry.access.redhat.com/openshift3/ose-cli:v3.11" already present on machine
cluster-ops               20m         Normal    Created                 pod/cronjob-ldap-group-sync-1600711200-msbwc   Created container cronjob-ldap-group-sync
cluster-ops               20m         Normal    Started                 pod/cronjob-ldap-group-sync-1600711200-msbwc   Started container cronjob-ldap-group-sync
cluster-ops               20m         Normal    SuccessfulCreate        job/cronjob-ldap-group-sync-1600711200         Created pod: cronjob-ldap-group-sync-1600711200-msbwc
cluster-ops               139m        Normal    SuccessfulCreate        cronjob/cronjob-ldap-group-sync                Created job cronjob-ldap-group-sync-1600704000
cluster-ops               139m        Normal    SawCompletedJob         cronjob/cronjob-ldap-group-sync                Saw completed job: cronjob-ldap-group-sync-1600704000, status: Complete
cluster-ops               139m        Normal    SuccessfulDelete        cronjob/cronjob-ldap-group-sync                Deleted job cronjob-ldap-group-sync-1600693200
cluster-ops               79m         Normal    SuccessfulCreate        cronjob/cronjob-ldap-group-sync                Created job cronjob-ldap-group-sync-1600707600
cluster-ops               79m         Normal    SawCompletedJob         cronjob/cronjob-ldap-group-sync                Saw completed job: cronjob-ldap-group-sync-1600707600, status: Complete
cluster-ops               79m         Normal    SuccessfulDelete        cronjob/cronjob-ldap-group-sync                Deleted job cronjob-ldap-group-sync-1600696800
cluster-ops               20m         Normal    SuccessfulCreate        cronjob/cronjob-ldap-group-sync                Created job cronjob-ldap-group-sync-1600711200
cluster-ops               19m         Normal    SawCompletedJob         cronjob/cronjob-ldap-group-sync                Saw completed job: cronjob-ldap-group-sync-1600711200, status: Complete
cluster-ops               19m         Normal    SuccessfulDelete        cronjob/cronjob-ldap-group-sync                Deleted job cronjob-ldap-group-sync-1600700400
openshift-etcd-operator   4m40s       Warning   UnhealthyEtcdMember     deployment/etcd-operator                       unhealthy members: master-02.osepext01.claro.amx,master-01.osepext01.claro.amx,master-03.osepext01.claro.amx
openshift-etcd-operator   14m         Warning   UnhealthyEtcdMember     deployment/etcd-operator                       unhealthy members: master-01.osepext01.claro.amx,master-03.osepext01.claro.amx
openshift-etcd-operator   38m         Warning   UnhealthyEtcdMember     deployment/etcd-operator                       unhealthy members: master-03.osepext01.claro.amx
openshift-etcd-operator   172m        Normal    OperatorStatusChanged   deployment/etcd-operator                       Status for clusteroperator/etcd changed: Degraded message changed from "NodeControllerDegraded: All master nodes are ready\nEtcdMembersDegraded: No unhealthy members found" to "EtcdMemberIPMigratorDegraded: rpc error: code = Canceled desc = grpc: the client connection is closing\nNodeControllerDegraded: All master nodes are ready\nEtcdMembersDegraded: No unhealthy members found"
openshift-etcd-operator   172m        Normal    OperatorStatusChanged   deployment/etcd-operator                       Status for clusteroperator/etcd changed: Degraded message changed from "EtcdMemberIPMigratorDegraded: rpc error: code = Canceled desc = grpc: the client connection is closing\nNodeControllerDegraded: All master nodes are ready\nEtcdMembersDegraded: No unhealthy members found" to "NodeControllerDegraded: All master nodes are ready\nEtcdMembersDegraded: No unhealthy members found"
openshift-logging         <unknown>   Normal    Scheduled               pod/curator-1600701600-d9xrx                   Successfully assigned openshift-logging/curator-1600701600-d9xrx to infra-02.osepext01.claro.amx
openshift-logging         3h          Normal    Pulled                  pod/curator-1600701600-d9xrx                   Container image "registry.redhat.io/openshift4/ose-logging-curator5@sha256:91dd624cb2a005b3d251871ee2dbeba473fda2d06567eb96875cc8bbe8bea58f" already present on machine
openshift-logging         3h          Normal    Created                 pod/curator-1600701600-d9xrx                   Created container curator
openshift-logging         3h          Normal    Started                 pod/curator-1600701600-d9xrx                   Started container curator
openshift-logging         3h          Normal    SuccessfulCreate        job/curator-1600701600                         Created pod: curator-1600701600-d9xrx
openshift-logging         <unknown>   Normal    Scheduled               pod/curator-1600702200-nrhxr                   Successfully assigned openshift-logging/curator-1600702200-nrhxr to infra-02.osepext01.claro.amx
openshift-logging         170m        Normal    Pulled                  pod/curator-1600702200-nrhxr                   Container image "registry.redhat.io/openshift4/ose-logging-curator5@sha256:91dd624cb2a005b3d251871ee2dbeba473fda2d06567eb96875cc8bbe8bea58f" already present on machine
openshift-logging         170m        Normal    Created                 pod/curator-1600702200-nrhxr                   Created container curator
openshift-logging         170m        Normal    Started                 pod/curator-1600702200-nrhxr                   Started container curator
openshift-logging         170m        Normal    SuccessfulCreate        job/curator-1600702200                         Created pod: curator-1600702200-nrhxr
openshift-logging         <unknown>   Normal    Scheduled               pod/curator-1600702800-26rq2                   Successfully assigned openshift-logging/curator-1600702800-26rq2 to infra-03.osepext01.claro.amx
openshift-logging         159m        Normal    Pulled                  pod/curator-1600702800-26rq2                   Container image "registry.redhat.io/openshift4/ose-logging-curator5@sha256:91dd624cb2a005b3d251871ee2dbeba473fda2d06567eb96875cc8bbe8bea58f" already present on machine
openshift-logging         159m        Normal    Created                 pod/curator-1600702800-26rq2                   Created container curator
openshift-logging         159m        Normal    Started                 pod/curator-1600702800-26rq2                   Started container curator
openshift-logging         160m        Normal    SuccessfulCreate        job/curator-1600702800                         Created pod: curator-1600702800-26rq2
openshift-logging         <unknown>   Normal    Scheduled               pod/curator-1600703400-psff4                   Successfully assigned openshift-logging/curator-1600703400-psff4 to infra-03.osepext01.claro.amx
openshift-logging         149m        Normal    Pulled                  pod/curator-1600703400-psff4                   Container image "registry.redhat.io/openshift4/ose-logging-curator5@sha256:91dd624cb2a005b3d251871ee2dbeba473fda2d06567eb96875cc8bbe8bea58f" already present on machine
openshift-logging         149m        Normal    Created                 pod/curator-1600703400-psff4                   Created container curator
openshift-logging         149m        Normal    Started                 pod/curator-1600703400-psff4                   Started container curator
openshift-logging         150m        Normal    SuccessfulCreate        job/curator-1600703400                         Created pod: curator-1600703400-psff4
