NAME                                              READY   STATUS              RESTARTS   AGE     IP             NODE                            NOMINATED NODE   READINESS GATES
3scale-operator-5f86664c4b-j9tbl                  1/1     Running             0          41d     10.129.3.39    infra-03.osepext01.claro.amx    <none>           <none>
apicast-apicast-production-dev-569c594c88-dhnb4   1/1     Running             0          10d     10.131.3.47    worker-02.osepext01.claro.amx   <none>           <none>
apicast-apicast-staging-dev-79d87c66c9-dpnwt      1/1     Running             0          11d     10.130.2.110   worker-01.osepext01.claro.amx   <none>           <none>
apicast-custom-policies-1-build                   0/1     Error               0          23d     10.128.1.108   infra-01.osepext01.claro.amx    <none>           <none>
apicast-custom-policies-2-build                   0/1     Error               0          23d     10.128.1.110   infra-01.osepext01.claro.amx    <none>           <none>
apicast-custom-policies-29-build                  0/1     Completed           0          17d     10.130.2.54    worker-01.osepext01.claro.amx   <none>           <none>
apicast-custom-policies-3-build                   0/1     Error               0          23d     10.128.1.111   infra-01.osepext01.claro.amx    <none>           <none>
apicast-custom-policies-30-build                  0/1     Completed           0          14d     10.128.0.240   infra-01.osepext01.claro.amx    <none>           <none>
apicast-custom-policies-31-build                  0/1     Completed           0          14d     10.131.3.0     worker-02.osepext01.claro.amx   <none>           <none>
apicast-custom-policies-32-build                  0/1     Error               0          11d     10.128.4.94    worker-03.osepext01.claro.amx   <none>           <none>
apicast-custom-policies-33-build                  0/1     Completed           0          11d     10.128.4.97    worker-03.osepext01.claro.amx   <none>           <none>
apicast-custom-policies-34-build                  0/1     Completed           0          11d     10.128.4.101   worker-03.osepext01.claro.amx   <none>           <none>
apicast-custom-policies-5-build                   0/1     Error               0          21d     10.130.3.227   worker-01.osepext01.claro.amx   <none>           <none>
apicast-dev-production-7fcfff6745-86k97           1/1     Running             0          7d3h    10.130.2.147   worker-01.osepext01.claro.amx   <none>           <none>
apicast-dev-staging-5bc85bbcb6-kg299              1/1     Running             0          7d3h    10.128.4.190   worker-03.osepext01.claro.amx   <none>           <none>
apicast-example-policy-1-build                    0/1     Error               0          23d     10.128.1.98    infra-01.osepext01.claro.amx    <none>           <none>
apicast-example-policy-2-build                    0/1     Error               0          23d     10.128.1.100   infra-01.osepext01.claro.amx    <none>           <none>
